Gen	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
1	1.0343214	1.0326106	1.0016793	0.5813750	0.0236427	0.0184498	0.9955141	0.8857554	0.8273780	0.4398831	0.9517993	0.3690442	0.1817277	0.1316811	0.0014010	0.3318029	0.0812872	0.2820852	0.2173896	0.1846031	0.1591283	0.0764405	0.0079792	0.8062982	0.7752149	0.5855489	0.5077106	0.4737838	0.3516773	0.1449579	0.1126792	0.3992919	0.0768377	0.3886604	0.2554692	0.1840578	0.1483572	0.4627406	0.3635069	0.2929380	0.1651013	0.0414981	0.0192987	0.1076940	0.0601951	0.5182232	0.3159666	0.3173277	0.1206946	0.0693256	0.0137526	0.2636760	0.1365893	0.1677152	0.5131770	0.5117920	0.0390817	0.2708539	0.2179800	0.2714909	0.0668714	0.1459892	-621.458
6	1.0723939	1.0663117	0.9860234	0.5777581	0.0535609	0.0417416	0.9287233	0.8908661	0.6288862	0.4100716	0.9061228	0.3941744	0.1887065	0.1313086	0.0035436	0.3203833	0.0689207	0.2812872	0.2167746	0.1390682	0.0981452	0.0737505	0.0118989	0.7350102	0.7220271	0.5593364	0.5214579	0.3742655	0.3405969	0.1801192	0.1612413	0.4711366	0.1474557	0.4832476	0.2962664	0.1266515	0.1479375	0.5606163	0.4087234	0.2457720	0.1305037	0.0484777	0.0199554	0.1311701	0.0721579	0.5935649	0.4480506	0.2899813	0.1463382	0.0362870	0.0137137	0.2536009	0.1188620	0.1546384	0.5146328	0.5667060	0.0384133	0.2010837	0.2188600	0.3943453	0.0533593	0.1124609	-612.844
12	1.0276812	0.9814563	0.9468841	0.5777581	0.0535609	0.0286010	0.9378162	0.8556924	0.7682151	0.4956765	0.9090991	0.3623712	0.2280637	0.1427245	0.0030896	0.3268516	0.1127965	0.2892979	0.2010569	0.1576050	0.1401938	0.0387128	0.0190047	0.7828237	0.7278962	0.5176080	0.4555194	0.4213512	0.3675226	0.1766611	0.1612413	0.3802065	0.0509443	0.3768798	0.2628334	0.2057590	0.1479375	0.5270692	0.3523920	0.3071528	0.1210464	0.0279079	0.0134501	0.1302842	0.0276863	0.6804586	0.3264622	0.2603343	0.1200588	0.0719890	0.0106309	0.1646253	0.1119177	0.1495111	0.6316679	0.6119128	0.0370486	0.2308260	0.2540546	0.4225652	0.0600886	0.1553476	-725.036
18	0.9850697	0.9792500	0.9629150	0.5772165	0.0395524	0.0284143	0.9401349	0.8334459	0.7642678	0.4718306	0.9234001	0.4128507	0.2300834	0.1404259	0.0060261	0.3403554	0.1120602	0.2695341	0.1675765	0.1309081	0.0962351	0.0578519	0.0049051	0.7469752	0.6979463	0.5184134	0.4979730	0.4553914	0.3320566	0.2724872	0.2150551	0.2688039	0.1092691	0.4909105	0.2619681	0.1285210	0.1819301	0.5468110	0.3822423	0.2297618	0.1430235	0.0521966	0.0351839	0.1294338	0.0971674	0.7263003	0.4730227	0.3202081	0.0725626	0.0566915	0.0044075	0.3051891	0.1139037	0.1722670	0.4466885	0.6159332	0.0372920	0.2556480	0.3204356	0.3425620	0.0438707	0.1940566	-615.594
24	0.9789475	0.9655994	0.9545114	0.5811273	0.0351750	0.0284042	0.9245247	0.8684401	0.7615940	0.4418513	0.8998747	0.5377685	0.2869760	0.1818364	0.0023098	0.4016648	0.0934414	0.3701161	0.1753151	0.1184147	0.0880387	0.0539595	0.0399539	0.7868341	0.7376334	0.5461318	0.5185658	0.4344894	0.3945337	0.2294110	0.2149787	0.3179126	0.1434891	0.6270074	0.2585870	0.0514576	0.1772883	0.5026971	0.3956542	0.3270940	0.1833918	0.0409371	0.0259259	0.1551896	0.0808074	0.7771477	0.6049798	0.3200942	0.1836327	0.0814032	0.0201881	0.3050806	0.1139442	0.1672872	0.5544088	0.5544438	0.0350482	0.2605094	0.2472458	0.4895201	0.0525684	0.3235895	-678.711
30	1.0120556	1.0037401	0.9305204	0.5776539	0.0408155	0.0339635	0.9288229	0.9220651	0.7706858	0.4902510	0.9076566	0.4517351	0.2157124	0.1271464	0.0056397	0.3585533	0.0613365	0.3008688	0.1939545	0.1571080	0.1194377	0.0403369	0.0059834	0.7745668	0.7652122	0.5448758	0.5351504	0.4381679	0.2061375	0.1299034	0.0393544	0.2041211	0.1136100	0.4539115	0.2608232	0.1004558	0.1954236	0.5849953	0.4067342	0.3299227	0.1727646	0.0311476	0.0040428	0.1025245	0.0620358	0.7011694	0.6102115	0.3228623	0.1907190	0.0790184	0.0031375	0.2147926	0.1249233	0.2043437	0.5496555	0.5496902	0.0352458	0.2908656	0.3375829	0.4895201	0.0498166	0.4472139	-688.397
36	1.0669465	0.9939876	0.9822743	0.5797685	0.0673878	0.0339635	0.9523423	0.9177799	0.8198986	0.4404244	0.8866973	0.4616066	0.2311373	0.1403749	0.0081392	0.3593384	0.0856560	0.3205428	0.1940889	0.1538922	0.1407021	0.0767233	0.0448899	0.7745668	0.7674976	0.5669794	0.5434083	0.4567203	0.2330443	0.1268902	0.0783392	0.3630326	0.0756918	0.5783499	0.2670279	0.1221847	0.1740834	0.4610386	0.4035220	0.2080637	0.1727646	0.0226806	0.0040428	0.1025245	0.0694630	0.6836054	0.4076909	0.4100319	0.0584141	0.0528477	0.0314418	0.2976766	0.1249233	0.1874899	0.6375207	0.5650245	0.0376608	0.3277997	0.4126377	0.5051284	0.0498166	0.4712628	-560.884
42	1.1261924	1.0569548	1.0309078	0.5769324	0.0219431	0.0149098	1.0144432	0.9189981	0.8000188	0.4431805	0.9036903	0.4644952	0.3028450	0.0759559	0.0081901	0.4099948	0.0632247	0.3225487	0.2401214	0.1640289	0.1249626	0.1031632	0.0451708	0.7237009	0.6862614	0.5595990	0.4929340	0.3924556	0.3540724	0.2091936	0.0733429	0.2245113	0.0761655	0.4901157	0.2712160	0.1553765	0.1312334	0.4081345	0.3659761	0.3457741	0.1285302	0.0212585	0.0183484	0.1011396	0.0698977	0.6085183	0.3912602	0.3479168	0.1035644	0.0445779	0.0081504	0.2740793	0.1172373	0.1920649	0.5585643	0.5615107	0.0350263	0.2364001	0.4506088	0.6499558	0.0570284	0.6991182	-585.221
48	1.0378829	1.0159104	0.9992384	0.5770231	0.0359030	0.0327548	0.9823812	0.9736151	0.8204583	0.4389766	0.9292154	0.4925384	0.1958687	0.1190120	0.0057952	0.4010637	0.1138769	0.3256994	0.2192053	0.1978524	0.1339805	0.0745039	0.0303040	0.7282966	0.6682219	0.5382309	0.5148076	0.3380801	0.1905558	0.1407859	0.1250019	0.3545275	0.1107030	0.4685746	0.2718633	0.0959478	0.1043722	0.4115357	0.3840352	0.3619474	0.1442778	0.0365829	0.0150882	0.1120264	0.0172614	0.6467037	0.5021327	0.3379998	0.0705942	0.0585639	0.0081699	0.2351192	0.1283085	0.1916681	0.5685731	0.5601738	0.0388222	0.1980712	0.4072624	0.7299205	0.0599688	0.6079139	-606.120
54	1.0513836	1.0203268	0.9780598	0.5784287	0.0531252	0.0414153	0.9681906	0.8965887	0.7061010	0.4349827	0.8995765	0.4413154	0.2268709	0.1292775	0.0078294	0.3653035	0.0446602	0.3596219	0.2345416	0.1450236	0.1084623	0.0848614	0.0117675	0.7232011	0.6781459	0.5475917	0.4631427	0.3782052	0.2281386	0.1643426	0.1529054	0.4154878	0.1096958	0.4700321	0.2685378	0.0930191	0.0559238	0.5810606	0.4017913	0.3295762	0.1429652	0.0158917	0.0109861	0.1215469	0.0943838	0.6408199	0.5653455	0.1936136	0.0699519	0.0580311	0.0061785	0.1636160	0.1474237	0.1765682	0.5737935	0.6035180	0.0361347	0.1681057	0.3108935	1.0135692	0.0837428	0.4121471	-672.012
60	1.0623421	0.9742962	0.9645216	0.5784287	0.0531252	0.0387752	0.9533361	0.8650323	0.7612328	0.4349827	0.8731908	0.5052156	0.3144300	0.2043234	0.0078294	0.4018873	0.0907995	0.2843352	0.2067959	0.1485047	0.1219620	0.0974606	0.0252520	0.7232011	0.6728147	0.5285391	0.4550168	0.3520122	0.3065782	0.2095832	0.1180844	0.2951813	0.0454798	0.4243179	0.2854217	0.1648973	0.0609461	0.5085913	0.3884392	0.2479600	0.1718214	0.0494828	0.0109861	0.0866240	0.0677762	0.5809217	0.4285556	0.2259145	0.1193198	0.0442977	0.0091118	0.2084030	0.1429931	0.1765682	0.4880229	0.5643480	0.0403460	0.1128201	0.3553297	0.6470428	0.0620260	0.4121471	-669.208
